lineId_stopIdOrigen_stopIdDestino,velocidad_promedio,muestras
2121_500100_513258,16.57,1
2301_512123_513264,26.94,562
2121_500100_513262,11.28,1
272_512054_512055,14.33,442
3452_514134_514460,30.72,12
3721_517278_500052,12.16,3
2101_502303_502250,14.20,9
271_511421_511422,19.25,209
2101_502303_502251,36.76,351
271_511421_511423,66.77,1
271_511421_511420,24.72,43
305_519041_512072,5.17,1
352_515169_515168,21.10,22
3411_514466_514044,26.19,548
3411_514466_514045,20.51,5
3411_514466_514042,15.19,129
150_501550_501500,0.64,1
2102_516217_516219,14.21,72
377_516187_517268,19.35,1
3192_511462_511056,25.61,226
3192_511462_511059,2.54,1
311_511249_511250,7.44,15
2101_511012_516049,18.13,70
2212_513256_500101,19.70,316
2473_515059_515058,17.85,34
3112_511016_511251,30.26,116
347_500156_514021,49.07,1
347_500156_514020,23.19,908
2121_516080_516081,14.51,369
2211_516245_516266,18.66,1
140_501450_501350,11.93,209
2102_516217_516221,9.70,1
2242_512072_512133,2.93,2
140_501350_501250,25.55,1
2101_511012_516051,29.08,1
355_514214_514212,22.59,1
2211_518046_516089,15.01,1
355_514214_514213,13.03,7
371_517021_517232,42.09,397
2473_515059_515060,29.56,166
311_511249_511261,17.50,153
2121_516080_516088,4.97,1
2211_516245_516268,42.87,4
311_511249_511264,16.45,2
272_500603_502401,27.93,433
2121_516080_516090,1.85,1
441_501351_501301,38.45,357
2273_513035_513290,26.77,371
271_511321_511323,29.96,255
131_501002_500750,22.79,1
3722_517248_500053,18.24,1
2242_512072_512148,32.94,1
2242_512072_512147,24.50,404
2102_516217_516213,38.28,1
2102_516217_516215,26.92,252
333_513276_513294,22.49,48
333_513276_513293,16.87,4
282_513289_512134,29.52,1
131_500650_500451,47.27,582
3192_511462_511079,18.46,62
3192_511462_511078,12.82,1
427_502451_502501,17.69,417
2211_511329_511226,31.25,311
2301_501501_501451,8.07,216
2211_516245_516244,6.99,61
2301_512070_501401,3.40,1
2242_512130_513219,30.40,1
373_517279_517015,27.16,459
2473_515238_515049,18.51,1
3122_511170_511352,5.64,2
2211_515161_516085,20.94,274
333_513276_513277,11.92,2
3122_511170_511351,10.80,2
2211_515161_516089,14.85,71
2473_515238_515048,35.90,5
3122_511170_511350,13.49,553
2212_502301_515144,9.36,1
2212_502301_515147,30.49,1
441_501251_501201,22.33,459
2841_514083_514084,33.45,353
3192_511462_511081,22.77,1
2521_515059_515058,20.81,29
2211_515026_515138,14.36,71
2841_514083_514081,20.59,77
2524_516082_515171,11.34,4
2473_515238_515040,32.47,268
3192_511462_511080,17.22,1
333_513294_504005,1.94,1
2521_515059_515060,29.04,138
2243_513309_513140,28.29,125
373_517156_517043,15.63,86
2273_514409_514002,34.41,39
272_511315_517212,26.49,309
2524_518083_515171,11.96,1
2521_515115_515116,24.18,184
272_512054_512021,11.71,107
2521_515115_515114,6.14,6
271_511422_516128,9.57,1
2402_519048_513291,0.57,1
2243_514031_514030,20.28,44
2211_516094_516096,21.80,242
131_500301_500201,14.49,1
2212_514010_514003,24.78,1
2121_513325_513252,15.50,131
2521_513249_513205,21.73,251
2212_502301_515149,0.22,1
2301_501401_512069,44.44,2
2101_511011_511348,30.35,277
282_513247_513192,3.92,2
3171_511162_511021,21.42,2
2211_519174_519121,17.08,413
427_501855_501803,35.29,381
2524_516082_515153,10.27,1
2212_513035_513104,0.30,1
271_511416_511484,4.44,3
140_501450_501300,21.27,1
357_514419_514543,22.43,15
357_514419_514544,33.32,1
2473_514371_514431,5.36,7
2104_511109_511423,26.03,88
271_511416_511489,52.84,1
2473_515238_515062,30.47,9
2211_516094_516092,14.96,107
2212_514010_514014,24.64,1
2211_516094_516090,27.09,1
2243_514031_514032,22.90,115
2211_515026_515161,66.18,2
357_514419_514546,14.51,11
2402_513149_514114,17.74,337
2212_514010_514012,16.48,132
357_514419_514547,19.89,129
2402_513149_514116,26.26,1
2301_513253_504010,12.50,1
357_514419_514548,10.79,2
421_500106_502550,26.79,823
2402_514116_519045,25.47,311
2402_513124_513292,19.27,50
2121_500202_513040,32.69,376
441_501151_501101,41.27,351
271_511242_511426,20.99,92
271_511242_511427,22.83,234
271_511242_511428,4.78,2
2102_511103_516225,40.49,212
2841_514432_502651,30.60,367
2473_516128_511311,40.07,2
2521_513249_513226,15.53,55
318_511133_511335,48.39,206
272_512207_513264,12.60,2
2243_514026_514027,21.80,94
2472_517006_517007,29.13,350
3452_514459_514349,21.74,6
318_511335_511248,45.36,184
318_502314_511021,2.45,1
373_517279_517052,42.63,18
2473_516128_511309,22.11,347
3452_514459_514347,29.78,1
3452_514459_514348,13.46,267
2401_501550_514397,2.60,1
2471_515149_515017,30.90,1
375_517219_517015,13.11,5
2274_513254_500107,13.70,32
427_501950_502100,41.48,278
243_514097_514218,30.03,112
2243_514026_514025,6.57,2
140_501550_501450,9.54,1
131_501601_502300,0.08,1
2102_511104_511279,17.38,1
1571_502850_502950,15.44,2
2471_515149_515009,53.13,1
2212_513107_513327,41.96,278
336_513309_513215,19.81,307
2524_500851_500951,28.56,674
2521_518100_518099,18.77,68
452_502651_503005,35.85,1
2842_514072_514421,14.17,2
421_500106_502500,43.41,16
2801_518003_518006,36.21,91
2301_513049_500202,34.82,1
2301_513261_512017,36.03,372
2842_514376_514193,35.08,46
4272_501855_501701,28.08,1
3372_513098_513038,3.16,1
2242_513235_512203,48.19,1
272_519026_519290,11.07,94
2242_513235_512208,19.37,1
357_514403_514339,17.44,158
2301_513261_512003,36.64,2
131_500301_500251,33.83,697
2243_514345_500165,15.74,1
2402_513147_513148,28.58,269
243_513162_513161,12.93,17
3452_514459_514314,21.37,1
377_516187_517200,21.48,290
2212_503001_518051,41.48,2
271_511422_516184,10.82,1
3122_511167_511169,15.17,4
322_512092_512032,21.49,2
421_500602_500850,20.24,5
2242_514312_514314,22.31,327
2242_512202_512203,22.77,424
140_501101_501151,12.65,92
2242_512202_512201,19.01,184
376_517062_517152,20.38,4
3452_514459_514386,27.63,3
322_512092_512029,22.82,313
357_514326_514171,27.96,1
140_501150_501052,28.78,2
131_501601_501001,25.40,683
3122_511172_511072,13.50,1
3122_511167_511170,10.84,1
1571_502850_502900,9.00,49
2521_515238_515062,28.56,4
2472_516241_516239,14.42,83
2212_503001_518061,9.55,119
3372_513198_513106,0.12,1
1472_500163_500152,16.73,376
2473_515141_515187,34.80,3
1472_500163_500150,17.61,11
357_514273_514341,6.63,4
3122_511167_511165,7.17,1
2243_513256_513251,18.26,32
3122_511167_511168,12.67,437
2242_514126_513220,19.76,1
272_516064_519026,52.04,1
2472_516241_516242,23.10,392
3442_514359_514163,11.18,2
2104_516006_516005,11.97,72
2273_516122_516031,25.19,74
3422_514559_514088,18.02,1
3442_514557_514556,14.08,14
243_513008_513158,18.21,1
3372_513089_500251,14.39,128
271_511416_511417,27.99,268
3422_514559_514086,35.26,42
3721_517205_517150,19.98,15
3422_514559_514087,28.11,362
3422_514559_514085,25.35,1
371_517018_517020,41.68,10
352_515072_515249,16.13,24
2141_511222_511018,42.10,116
373_517182_517166,28.32,406
3131_511230_511416,42.92,200
3411_514041_514042,13.22,482
3131_511230_511417,27.32,3
311_511249_511213,3.22,1
2273_513063_513112,17.43,98
272_519025_513264,0.22,1
2273_516122_516027,28.62,379
2841_502700_502650,23.71,422
3123_511391_511292,17.66,97
2521_515238_515040,27.39,148
